a	0,158407
b	0,029275
c	0,000053
d	0,032260
e	0,129448
f	0,001960
g	0,026059
h	0,017924
i	0,087110
j	0,003900
k	0,050469
l	0,027389
m	0,009870
n	0,076932
ñ	0,000055
o	0,052642
p	0,008565
q	0,000004
r	0,081330
s	0,023189
t	0,076000
u	0,052416
v	0,000019
w	0,000017
x	0,003218
y	0,000032
z	0,051453
